words,sentiment
పరీక్షలను, neutral
పరిశీలించారు, positive
మరియు, neutral
మీరు, neutral
చేస్తున్నారు, positive
ప్రయత్నించారు, positive
ఆనందించారు, positive
మరియు, neutral
విజయాన్ని, positive
సాధించారు, positive
వారి, neutral
సమర్ధత, neutral
అంతకుముందు, neutral
ఆనందం, positive
చక్కగా, positive
ఉంది, positive
ఆనందంగా, positive
ఆనందం, positive
చక్కగా, positive
సమాధానం, positive
వచ్చింది, positive
మరియు, neutral
విజయం, positive
సాధించారు, positive
మరియు, neutral
విజయం, positive
పొందింది, positive
చెందింది, positive
అనుకూలంగా, positive
కావడం, positive
చక్కగా, positive
ఉంది, positive
అంతకుముందు, neutral
సమాధానం, positive
కనబడ్డారు, negative
మరియు, neutral
అనుమానం, neutral
అందించారు, positive
కానీ, neutral
మరియు, neutral
పొందింది, positive
చేసింది, positive
కనిపిస్తుంది, positive
చిత్తిపోవడం, negative
అనుకూలంగా, positive
తప్పించారు, negative
చివరి, positive
విజయం, positive
అంతకుముందు, neutral
కార్యక్రమం, neutral
నిజమైన, positive
సమర్థత, neutral
పొందింది, positive
విజయం, positive
పొందింది, positive
అది, neutral
పరిశోధన, neutral
చేయడం, positive
అనుమానం, neutral
అందించింది, positive
అంతకుముందు, neutral
చక్కగా, positive
అంతకుముందు, neutral
కంటెంట్, neutral
సమర్పించడం, positive
అనుకూలంగా, positive
చేయడం, positive
ప్రయత్నించారు, positive
మరియు, neutral
ప్రయత్నించింది, positive
కావడం, positive
చాలా, neutral
మరియు, neutral
సరిగా, positive
సమర్థత, neutral
పొందాడు, positive
ఆనందం, positive
పట్టించడం, positive
ఆశలు, neutral
పూర్తిగా, positive
మరియు, neutral
పరిశీలించారు, positive
అనుమానం, neutral
కంటెంట్, neutral
సమర్పించారు, positive
మరియు, neutral
పొందింది, positive
చెందింది, positive
అంతకుముందు, neutral
చేయబడింది, positive
సమర్థత, neutral
పొందింది, positive
అది, neutral
పరిషోధన, neutral
ప్రయత్నించారు, positive
మరియు, neutral
సమర్థత, neutral
పొందాడు, positive
విజయం, positive
పొందింది, positive
పాటించింది, positive
అది, neutral
చేసింది, positive
పొందింది, positive
అది, neutral
విజయం, positive
అంతకుముందు, neutral
ప్రతిఫలించిన, positive
పొందింది, positive
ఆలోచించారు, neutral
చివరి, positive
సమర్థత, neutral
పొందింది, positive
మరియు, neutral
చేసింది, positive
సమర్థత, neutral
పొందింది, positive
విజయం, positive
పొందింది, positive
విజయం, positive
పొందింది, positive
కంటెంట్, neutral
తయారు, positive
చేయబడింది, positive
ప్రతిఫలించాడు, positive
కానీ, neutral
ప్రతిఫలించడం, positive
చేసింది, positive
పరిశోధన, neutral
చేసింది, positive
అంతకుముందు, neutral
సమర్థత, neutral
పొందాడు, positive
అనుమానం, neutral
చేసింది, positive
అవసరం, neutral
అది, neutral
ప్రయత్నించాడు, positive
అంతకుముందు, neutral
చెందింది, positive
ఆశలు, neutral
పూర్తిగా, positive
చేయబడింది, positive
ప్రయత్నించాడు, positive
చేయబడింది, positive
ప్రయత్నించిన, positive
ప్రయత్నించారు, positive
పొందాడు, positive
విజయం, positive
అవసరం, neutral
అది, neutral
చేసింది, positive
ప్రయత్నించాడు, positive
మరియు, neutral
ప్రయత్నించింది, positive
వాటిని, neutral
విజయం, positive
పొందింది, positive
ప్రయత్నించాడు, positive
చేసింది, positive
ఆనందం, positive
పొందాడు, positive
విజయం, positive
అంతకుముందు, neutral
ప్రయత్నించారు, positive
పొందింది, positive
ప్రయత్నించారు, positive
ప్రయత్నించింది, positive
పొందింది, positive
చేసింది, positive
ఆనందం, positive
పొందింది, positive
విజయం, positive
అంతకుముందు, neutral
చేసింది, positive
ప్రయత్నించాడు, positive
ప్రయత్నించారు, positive
వారి, neutral
ప్రయత్నించాడు, positive
మరియు, neutral
ప్రయత్నించింది, positive
విజయం, positive
పొందింది, positive
విజయం, positive
పొందింది, positive
??? ? ???? ?? ????????? ??????.,positive
?????? ?????????? ?? ?????? ??????? ???????.,negative
???? ? ??????????? ???? ???????????????. ,positive
? ???? ??? ?? ???????? ????? ?????????????. ,neutral
??? ?????? ??????????? ???????. ,positive
?????? ?????????? ?? ?????? ??????? ???????. ,negative
?? ???? ???? ?????? ????? ????????? ????. ,positive
? ?????? ?????????? ???? ??????????. ,negative
? ??????? ???? ??? ????. ,negative
? ???????? ???? ???? ???????? ????. ,positive
???? ?????? ???? ??????? ????????????. ,positive
??? ?????????? ???? ????? ????. ,neutral
?? ?????? ???????? ????. ,neutral
??? ? ????????? ?????????????. ,positive
? ??????? ???? ???? ?????????? ?????????????. ,negative
??? ???? ??????? ?????????. ,neutral
?? ????? ?????? ?????? ???????????. ,positive
???? ???????? ?????????? ????????. ,neutral
???? ?????? ???????. (positive),positive
????? ????????. ,positive
??? ??????? ??????. ,positive
???? ?????????? ??????? ??????????. ,positive
???? ???? ????? ????. ,neutral
???? ???? ??????? ????. ,positive
?? ????? ?????? ???????? ???????????. ,positive
????????? ???????? ????????.,positive
??????? ?????? ????????? ??????????????.,positive
???????? ??????? ?????? ??????????.,positive
???????? ???????????????.,positive
??????? ??????? ????? ???????????.,positive
??????? ???? ?????????? ?????? ????? ???????.,positive
??????? ???? ?????????????.,positive
????? ??????? ????????.,positive
?????????? ???????? ??????? ??????.,positive
??????? ????? ?????????? ??????????.,positive
???????? ????????? ??????? ????.,negative
???????? ????? ?????? ?????? ????????.,negative
????????? ?? ?????? ???? ???? ??????? ????.,negative
??????? ????????? ???? ????.,negative
????????? ??????? ???????????? ????? ????????? ????.,negative
???? ???? ??????? ????? ???? ????? ????? ???????.,negative
???? ?????????,negative
??????? ???????????? ????? ????????? ??????????? ??????.,neutral
??????? ?? ???? ??????? ???? ?????? ?? ????????? ????.,neutral
?????? ??????????? ?????????? ??????? ??????.,neutral
???????????? ????? ????????????? ????????? ???? ???????????.,neutral
"?????? ??????? ??????, ???????????? ??????? ???? ???????? ??????.",neutral
"????????? ???????? ???????, ?? ?????? ???????? ??????.",neutral
??????????? ???????? ?????? ???????? ??????.,neutral
???? ????? ????? ???????? ???? ???????????.,neutral
???????? ???????? ????????????.,negative
??????? ?????????????? ????? ?????????? ??????????? ??????????? ???? ?????????.,negative
?????? ????????? ???????? ???????????????.,negative
???????? ????? ??????? ????.,negative
??????????????? ???? ??????? ??????? ????? ????????? ????? ?????? ????.,negative
??????? ???????? ?????? ?????? ???????????????.,negative
?????? ??????? ????????? ??????????????.,negative
"?????????, ??????? ????? ???????? ??????? ??????????????.",negative
?????? ???????? ???????? ???????.,negative
?????? ??????? ????????????.,negative
????????? ??????? ????.,negative
?????? ???????? ????????? ?????.,negative
??????????? ????????? ????.,negative
??????? ?????????? ?????????.,negative
????? ??????? ?????????????.,negative
???? ??????? ?????? ??????? ????.,negative
??????? ???????? ?????????? ???????????????.,negative
??????????? ????? ?????? ????.,negative
???? ??????? ??????????????.,neutral
????????? ????????????????????.,neutral
??????? ??????? ??????????????.,neutral
??????? ????????? ????? ?????????????.,neutral
???????????? ????? ??????????? ????.,neutral
???? ????????? ???????????.,neutral
????????? ?????? ?????? ????? ???????.,neutral
??????????? ??????? ???? ???????? ???????.,neutral
?????? ???????? ???????.,neutral
"????? ??????????? ???????, ????????? ??? ?????? ?????????.",neutral
???????? ???????? ???????.,neutral
????????? ????? ???? ????????? ????? ??? ??????? ????.,neutral
????? ????????? ??????????????.,neutral
????????? ?????? ????????????????.,neutral
??????? ???? ????.,neutral
??????? ??????????? ???????.,neutral
??????????? ?????? ???????.,neutral
?????? ?????????????????????.,neutral
???? ??????? ????? ?????????.,neutral
????????? ?????? ????????????.,neutral
??????????? ??????? ?????????????.,negative
????????? ?????????.,negative
???? ??????? ???????.,negative
??????????? ???????????.,negative
??????? ????????? ??????? ????????.,negative
???? ????????? ????????? ??????? ???????????????.,negative
??????????? ????????????????.,negative
??????? ?????????????.,negative
????????? ??????? ????.,negative
????????? ?????????????? ?????? ????? ??????????.,negative
???? ???????????.,positive
???? ??????? ????????????????????.,positive
?????? ???????????????????.,positive
????????? ???????? ????????.,positive
??????? ????????????????????.,positive
????????? ??????? ???????.,positive
?????? ?????????????.,positive
???? ????????????.,positive
????? ??????????.,positive
??????????? ??????? ???????.,positive
????????? ???? ??????????? ????????? ???? ??????????????????.,neutral
????????? ???? ???? ?????????.,neutral
??? ???? ???? ??????.,neutral
???? ?????? ??? ????????? ????.,neutral
????????? ?????? ????????????.,neutral
????????? ?????? ????????????.,neutral
??? ???? ?????? ????.,neutral
??? ??????? ?????????.,neutral
??? ???????????? ???? ????????? ?????????.,neutral
??? ?????? ????.,neutral
????????? ????? ?????????? ?????????.,neutral
????????? ?????? ????????????????.,neutral
????????? ? ??????? ???? ???????? ???????????????.,neutral
????????? ???? ??????? ??????.,neutral
????????? ?????? ?????????????????.,neutral
????????? ??????? ?????????.,neutral
????????? ???????????? ?????????????????????.,neutral
????????? ?????? ???????????????.,neutral
????????? ?????? ???????????????????????.,neutral
????????? ?????? ?????????????????????.,neutral
????????? ????? ??????? ????????????????.,neutral
????????? ?????? ????? ???? ?????? ???????????????.,neutral
????????? ??? ???? ??????? ???? ?????? ???????????????.,neutral
????????? ?????? ???????????????.,neutral
????????? ?????? ?????????????.,neutral
????????? ??? ??????????????????.,neutral
????????? ?????? ????? ???? ?????? ???????????.,neutral
????????? ?????? ?????????????????.,neutral
????????? ?????? ?????? ???? ???????? ??????? ??????????.,neutral
????????? ?????? ????????????????.,neutral
??? ???? ???????? ?????????.,negative
????????? ??? ????????? ????.,negative
??? ?????????? ?????????.,negative
????????? ????? ????????????.,negative
??? ?????? ??????? ?????? ????????.,negative
????????? ????? ??????? ????? ????????? ???????.,negative
??? ???????????? ??????? ????????????.,negative
????????? ????? ??????? ????????? ?????? ???????.,negative
??? ?????? ??????????? ??????? ????.,negative
????????? ??? ?????????????? ????.,negative
??? ???????? ???????????.,negative
????????? ??? ???????? ????.,negative
??? ???????? ???????????.,negative
????????? ??? ???????? ?????????.,negative
??? ???????? ????????? ????????.,negative
????????? ??? ????????? ?????????.,negative
??? ???????? ?????????.,negative
????????? ??? ???????? ???????.,negative
??? ???????? ??????? ????????????.,negative
????????? ??? ?????????????? ?????????.,negative
??? ?????????? ??????? ????????????.,negative
????????? ??? ???????? ????.,negative
??? ???????? ???????????.,negative
????????? ??? ????????? ?????????.,negative
??? ???????? ?????????.,negative
????????? ??? ???????? ?????????.,negative
??? ???????? ???????????.,negative
????????? ??? ????????? ?????????.,negative
??? ???????? ???????????.,negative
????????? ??? ???????? ???????.,negative
??? ?? ???????? ???? ????? ????.,positive
????????? ????? ???????????????.,positive
??? ?????? ???? ????? ???????????.,positive
????????? ?????? ???????????????.,positive
??? ?? ?????? ????.,positive
????????? ? ??????? ????????.,positive
??? ?? ????? ????.,positive
????????? ?????? ?????????????? ????????.,positive
??? ???????? ????????? ??????????.,positive
????????? ??? ??????? ????.,positive
??? ???????? ????????.,positive
????????? ??? ????? ????.,positive
??? ??????? ??????.,positive
????????? ??? ???????? ???????.,positive
??? ?? ??????.,positive
????????? ??? ?????? ????????? ????.,positive
??? ?? ?????? ???????.,positive
????????? ??? ???? ????????.,positive
??? ???????? ????????.,positive
????????? ??? ???? ???????? ????.,positive
??? ???? ??????? ?????????.,positive
????????? ??? ???? ????????.,positive
??? ???? ?????????? ????.,positive
????????? ??? ??????? ??????.,positive
??? ???????? ????? ????.,positive
????????? ??? ?? ?????? ???????.,positive
??? ???????? ????? ?????????.,positive
????????? ??? ???? ????????.,positive
??? ????? ?????????.,positive
????????? ??? ?????? ????????? ????.,positive
???? ???????? ???? ????????? ????.,neutral
"?????, ??? ?????????? ????????? ????.",neutral
????????? ???? ????? ??????? ???????????????.,neutral
??? ????? ??????????? ????????? ????.,neutral
???? ???? ????????? ???????????????.,neutral
????????? ??? ????? ???????????? ???????????.,neutral
"??? ????????? ????, ???? ??? ????? ???????????? ???? ?????? ?????????.",neutral
???? ????? ?? ????? ??????????? ??????? ???????? ???????????.,neutral
????????? ??? ?????? ???????? ????.,neutral
??? ????? ???? ?? ???? ?????????.,neutral
???? ???????? ?????? ???????? ?????????.,neutral
????????? ??? ?? ?????? ??????????? ???????? ?????????????.,neutral
??? ???? ?????????? ?????????? ????? ?????? ?????????.,neutral
???? ???????? ????????? ???????? ???? ???? ???????????.,neutral
????????? ??? ?????? ????? ?????? ?????????????.,neutral
"??? ???????? ????? ?????????, ???? ??? ???????????.",neutral
???? ????? ???? ????????? ????? ??????? ????? ???? ??????????.,neutral
????????? ??? ???????? ?????????.,neutral
"??? ???? ?????????? ????, ???? ??? ???? ????????? ????????? ?????? ????????? ???????.",neutral
???? ???????? ?? ????? ??????? ???????.,neutral
"????????? ??? ???????????, ???? ??? ???? ??????????.",neutral
??? ????????? ????? ?????? ?????????????.,neutral
???? ???????? ?? ?????????? ?????? ?????????.,neutral
????????? ??? ?? ?????? ?????? ?????????????.,neutral
"??? ?????? ???????? ????, ???? ??? ???????????? ??????????.",neutral
???? ????? ????? ?????????? ???????????.,neutral
????????? ??? ?????? ?????? ???????????? ???????????.,neutral
"??? ???? ?????? ????????????, ?????? ?????? ????????.",neutral
???? ????? ????? ???? ???? ?????????.,neutral
????????? ??? ?????? ???? ???????????.,neutral
??? ?? ????? ??????????? ????.,negative
???? ???????? ??????? ????.,negative
????????? ??? ?????? ??????? ????????????.,negative
??? ?????? ???????? ????.,negative
???? ????? ??????? ???? ??????? ????.,negative
????????? ??? ?? ??????? ????????.,negative
??? ???? ????????????? ????.,negative
???? ????? ???? ????????????? ????.,negative
??? ?? ?????? ????.,neutral
????????? ??? ?????????? ?????????.,neutral
??? ???????? ??????? ????????????.,neutral
????????? ??? ???????? ?????????.,neutral
??? ?? ?????? ???????.,neutral
????????? ??? ???????????.,neutral
??? ?? ???????? ????.,neutral
????????? ??? ?????? ???????? ?????.,neutral
??? ???????? ???????? ????.,neutral
????????? ??? ???????? ?????????.,neutral
??? ?? ????? ????.,neutral
????????? ??? ???????? ???????? ????.,neutral
??? ?? ??????? ????.,neutral
????????? ??? ?????????? ???????.,neutral
??? ???????? ??????????? ????.,neutral
????????? ??? ?????? ???????? ?????????.,neutral
??? ?? ???????? ??????.,neutral
????????? ??? ?????? ??????????? ???????.,neutral
??? ???????? ?????? ????????.,neutral
????????? ??? ??????? ????.,neutral
??? ?????? ????????????.,neutral
????????? ??? ???????? ?????????.,neutral
??? ???????? ????? ?????????.,neutral
????????? ??? ???????? ????.,neutral
??? ?? ????????.,neutral
????????? ??? ?????? ????? ?????????.,neutral
??? ?????? ?? ?????? ???????.,neutral
????????? ??? ????? ?????????.,neutral
??? ?????? ?????? ?????????.,neutral
????????? ??? ????? ????.,neutral
??? ???? ??????? ????.,negative
??? ????? ????? ????? ???? ????.,negative
??? ???? ????? ????????? ?????.,negative
??? ????????? ?????? ????.,negative
??? ???? ?????? ???? ????.,negative
??? ???????? ????????????.,negative
??? ???? ??????? ???? ????.,negative
??? ????? ????????? ?????????.,negative
??? ???????? ????????????.,negative
??? ???? ??????? ????????.,negative
??? ????? ????????? ?????????.,negative
??? ???? ??????? ????.,negative
??? ????? ????? ????? ???? ????.,negative
??? ????? ????? ????? ???? ????.,negative
??? ????? ????????? ?????????.,negative
??? ????? ????? ????? ???? ????.,negative
??? ???? ?????? ???? ????.,negative
??? ????? ????? ????? ???? ????.,negative
??? ???? ????? ????????? ?????.,negative
??? ???? ??????? ????????.,negative
??? ????? ????????? ?????????.,negative
??? ???? ??????? ???????? ????????????.,negative
??? ???? ????? ????????? ?????.,negative
??? ???????? ????????????.,negative
??? ????? ????????? ?????????.,negative
??? ????? ????????? ?????????.,negative
??? ???? ?????? ???? ????.,negative
??? ???????? ????????????.,negative
??? ???? ??????? ????.,negative
??? ???? ????? ????????? ?????.,negative
??? ???? ??????? ????.,negative
??? ???? ??????? ???? ????.,negative
??? ???? ????????? ??????.,negative
??? ???? ?????? ????.,negative
??? ???? ??????? ????.,negative
??? ???? ??????? ????????.,negative
??? ???? ??????? ???? ????.,negative
??? ???? ??????? ????????.,negative
??? ???? ?????? ????.,negative
??? ???? ?????? ???? ????.,negative
??? ???? ??????? ????.,negative
??? ???? ??????? ????.,negative
??? ???? ????? ????????? ?????.,negative
??? ???? ????????? ??????.,negative
??? ???? ??????? ????.,negative
??? ???? ??????? ????.,negative
??? ???? ??????? ????????.,negative
??? ???? ?????? ???? ????.,negative
??? ???? ??????? ???? ????.,negative
??? ???? ????????? ??????.,negative
??? ???? ??????? ????.,positive
??? ???? ???? ?????? ????.,positive
??? ????? ??????? ????????????.,positive
??? ???? ???? ?????? ????.,positive
??? ???? ????? ????????????.,positive
??? ???? ??????? ????.,positive
??? ????? ????? ???????????.,positive
??? ????? ???????????.,positive
??? ???? ???? ?????? ????.,positive
??? ???? ??????? ????.,positive
??? ???? ??????? ????.,positive
??? ????? ????? ???????????.,positive
??? ???? ??????? ????.,positive
??? ???? ???? ?????? ????.,positive
??? ????? ????? ???????????.,positive
??? ???? ??????? ????.,positive
??? ???? ??????? ????.,positive
??? ???? ???? ?????? ????.,positive
??? ???? ??????? ????.,positive
??? ???? ???? ?????? ????.,positive
??? ???? ??????? ????.,positive
??? ???? ??????? ????.,positive
??? ???? ??????? ????.,positive
??? ????? ????? ???????????.,positive
??? ????? ????? ???????????.,positive
??? ???? ??????? ????.,positive
??? ????? ????? ???????????.,positive
??? ????? ????? ????? ????????.,positive
??? ???? ??????? ????.,positive
??? ???? ??????? ????.,positive
??? ???? ??????? ????.,positive
??? ???? ???? ?????? ????.,positive
??? ???? ??????? ????.,positive
??? ???? ???? ?????? ????.,positive
??? ????? ????? ????? ????????.,positive
??? ???? ??????? ????.,positive
??? ????? ????? ???????????.,positive
??? ???? ??????? ????.,positive
??? ????? ????? ????? ????????.,positive
??? ???? ???? ?????? ????.,positive
??? ???? ??????? ????.,positive
??? ???? ??????? ????.,positive
??? ???? ??????? ????.,positive
??? ???? ??????? ????.,positive
??? ???? ???? ?????? ????.,positive
??? ???? ??????? ????.,positive
??? ???? ??????? ????.,positive
??? ???? ??????? ????.,positive
??? ???? ??????? ????.,positive
??? ???? ??????? ????.,positive
